,title,url,thumbnail_url,channel_name,views
0,"Watch the uncensored moment Will Smith smacks Chris Rock on stage at the Oscars, drops F-bomb",https://www.youtube.com/watch?v=myjEoDypUD8,https://i.ytimg.com/vi/myjEoDypUD8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDMGk2RvhtN19ZRm92G9MHMIb8_LA,Guardian News,77M 
1,Jimmy Kimmel’s Breakdown of the Craziest Oscars Moment Ever Between Will Smith & Chris Rock,https://www.youtube.com/watch?v=g2Al27LJ5-0,https://i.ytimg.com/vi/g2Al27LJ5-0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClQ0143RJ-VktP8rAtm2S5p5NclA,Jimmy Kimmel Live,7M v
2,Snoop Dogg REACTS to Will Smith and Chris Rock Oscars Slap,https://www.youtube.com/watch?v=4wBFoWumJEI,https://i.ytimg.com/vi/4wBFoWumJEI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDe4oH5Po4VJrBMFQaGF5IO2U5VNw,extratv,4.5M
3,Cris MJ - Una Noche En Medellín (Official Music Video),https://www.youtube.com/watch?v=EaIh7tRqdqM,https://i.ytimg.com/vi/EaIh7tRqdqM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbG0pD5Frefetws2yc_7YurrwHeQ,Cris MJ,55M 
4,Top Gun: Maverick | NEW Official Trailer (2022 Movie) - Tom Cruise,https://www.youtube.com/watch?v=giXco2jaZ_4,,Paramount Pictures,6.4M
5,Launch Timing Update for The Legend of Zelda: Breath of the Wild Sequel,https://www.youtube.com/watch?v=f_vgseuw_o8,,Nintendo,1.4M
6,Stars react to Will Smith slapping Chris Rock on the Oscars stage,https://www.youtube.com/watch?v=W9t4C5q5G3I,,CBS Los Angeles,5.1M
7,Cedric The Entertainer Jokes About Will Smith Slapping Chris Rock | TMZ,https://www.youtube.com/watch?v=8-f_qC-ThHY,,TMZ,946K
8,West Philadelphia Community Reacts To Local Icon Will Smith Slapping Chris Rock,https://www.youtube.com/watch?v=qZjmxY-1qHM,,CBS Philly,535K
9,"Denzel Washington, Bradley Cooper Comfort Will Smith After Oscars Slap",https://www.youtube.com/watch?v=P2kMCStRQhk,,Access,1.8M
10,"Will Smith's mother speaks about son's first Oscar, stage confrontation",https://www.youtube.com/watch?v=qscVtJF4yQk,,6abc Philadelphia,783K
11,Will Smith Accepts the Oscar for Lead Actor,https://www.youtube.com/watch?v=YVvgCMZSkyw,,ABC,1.2M
12,Chris Rock after being Slapped at the Oscars,https://www.youtube.com/watch?v=SGmZRWb4aj0,,RDCworld1,5.4M
13,Richard & Susanna React To Will Smith's Oscars Outburst After He Hit Chris Rock Due To Wife Joke|GMB,https://www.youtube.com/watch?v=iwXM8uoI0yw,,Good Morning Britain,2.3M
14,"Billie Eilish, FINNEAS - No Time To Die (Live From The Oscars 2022)",https://www.youtube.com/watch?v=77UFV6FaDPo,,Billie Eilish,1.6M
15,Will Smith apologizes for slapping Chris Rock,https://www.youtube.com/watch?v=NeBwmopf74M,,CNBC Television,1.1M
16,"Be Alive (Original Song from the Motion Picture ""King Richard"") (94th Academy Awards Performance)",https://www.youtube.com/watch?v=4aeDlZOD-B0,,Beyoncé,4.6M
17,"The Oscars Moment that Shocked the World, Biden Says Putin Cannot Remain in Power | The Tonight Show",https://www.youtube.com/watch?v=Tx33kuPue5M,,The Tonight Show Starring Jimmy Fallon,689K
18,Shoe Obsessed Slayer - Did The Wife Know More? - Jerry Brudos | Mystery & Makeup Bailey Sarian,https://www.youtube.com/watch?v=1qCld8mtSNs,,Bailey Sarian,1M v
19,Fortnite Zero Build Gameplay Trailer - No Build Battle Royale,https://www.youtube.com/watch?v=BIFM5e4OFfI,,Fortnite,766K
20,Howard and Nikki Glaser React to Will Smith’s Oscar Smack,https://www.youtube.com/watch?v=UxxbPu3kKKs,,The Howard Stern Show,762K
21,Whoopi Goldberg Predicts Will Smith Will Not Get Oscar Revoked After Chris Rock Slap,https://www.youtube.com/watch?v=4DA2p6E_sjA,,ET Canada,389K
22,Hollywood Stars React To Will Smith’s Oscar Outburst 😲 | GMB,https://www.youtube.com/watch?v=aiM5-iNd6uk,,Good Morning Britain,1.2M
23,Oscar’s Biggest Fight: Will Smith Slaps Chris Rock But Who’s to Blame?,https://www.youtube.com/watch?v=_eos50VCV9M,,The Real Daytime,245K
24,We Don't Talk About Jada (Encanto Parody),https://www.youtube.com/watch?v=ZSJhHlb84ew,,The Late Late Show with James Corden,1.1M
25,"Character Demo - ""Kamisato Ayato: Fathomless Swirls in the Forest"" | Genshin Impact",https://www.youtube.com/watch?v=KxMs7IsSTgs,,Genshin Impact,1.8M
